t_ms,joyY,joyX,tgtL,actL,thrL,ageL,tgtR,actR,thrR,ageR
4843,0,0,0,0,0,730,0,0,0,720
4853,0,0,0,0,0,740,0,0,0,730
4863,0,0,0,0,0,750,0,0,0,740
4873,0,0,0,0,0,760,0,0,0,750
4883,0,0,0,0,0,770,0,0,0,760
4893,0,0,0,0,0,780,0,0,0,770
4903,0,0,0,0,0,790,0,0,0,780
4913,0,0,0,0,0,800,0,0,0,790
4923,0,0,0,0,0,810,0,0,0,800
4933,0,0,0,0,0,820,0,0,0,810
4943,0,0,0,0,0,830,0,0,0,820
4953,0,0,0,0,0,840,0,0,0,830
4963,0,0,0,0,0,850,0,0,0,840
4973,0,0,0,0,0,860,0,0,0,850
4983,0,0,0,0,0,870,0,0,0,860
4993,0,0,0,0,0,880,0,0,0,870
5003,0,0,0,0,0,890,0,0,0,880
5013,0,0,0,0,0,900,0,0,0,890
5023,0,0,0,0,0,910,0,0,0,900
5033,0,0,0,0,0,920,0,0,0,910
5043,0,0,0,0,0,930,0,0,0,920
5053,0,0,0,0,0,940,0,0,0,930
5063,0,0,0,0,0,950,0,0,0,940
5073,0,0,0,0,0,960,0,0,0,950
5083,0,0,0,0,0,970,0,0,0,960
5093,0,0,0,0,0,980,0,0,0,970
5103,0,0,0,0,0,990,0,0,0,980
5113,0,0,0,0,0,1000,0,0,0,990
5123,0,0,0,0,0,1010,0,0,0,1000
5133,0,0,0,0,0,1020,0,0,0,1010
5143,0,0,0,0,0,1030,0,0,0,1020
5153,0,0,0,0,0,1040,0,0,0,1030
5168,0,0,0,0,0,1056,0,0,0,1046
5178,0,0,0,0,0,1065,0,0,0,1055
5188,0,0,0,0,0,1075,0,0,0,1065
5198,0,0,0,0,0,1085,0,0,0,1075
5208,0,0,0,0,0,1095,0,0,0,1085
5218,0,0,0,0,0,1105,0,0,0,1095
5228,0,0,0,0,0,1115,0,0,0,1105
5238,0,0,0,0,0,1125,0,0,0,1115
5248,0,0,0,0,0,1135,0,0,0,1125
5258,0,0,0,0,0,1145,0,0,0,1135
5268,0,0,0,0,0,1155,0,0,0,1145
5278,0,0,0,0,0,1165,0,0,0,1155
5288,0,0,0,0,0,1175,0,0,0,1165
5298,0,0,0,0,0,1185,0,0,0,1175
5308,0,0,0,0,0,1195,0,0,0,1185
5318,0,0,0,0,0,1205,0,0,0,1195
5328,0,0,0,0,0,1215,0,0,0,1205
5338,0,0,0,0,0,1225,0,0,0,1215
5348,0,0,0,0,0,1235,0,0,0,1225
5358,0,0,0,0,0,1245,0,0,0,1235
5368,0,0,0,0,0,1255,0,0,0,1245
5378,0,0,0,0,0,1265,0,0,0,1255
5388,0,0,0,0,0,1275,0,0,0,1265
5398,0,0,0,0,0,1285,0,0,0,1275
5408,0,0,0,0,0,1295,0,0,0,1285
5418,0,0,0,0,0,1305,0,0,0,1295
5428,0,0,0,0,0,1315,0,0,0,1305
5438,0,0,0,0,0,1325,0,0,0,1315
5448,0,0,0,0,0,1335,0,0,0,1325
5458,0,0,0,0,0,1345,0,0,0,1335
5468,0,0,0,0,0,1355,0,0,0,1345
5478,0,0,0,0,0,1365,0,0,0,1355
5488,0,0,0,0,0,1375,0,0,0,1365
5498,0,0,0,0,0,1385,0,0,0,1375
5508,0,0,0,0,0,1395,0,0,0,1385
5518,0,0,0,0,0,1404,0,0,0,0
5528,0,0,0,0,0,0,0,0,0,10
5538,0,0,0,0,0,9,0,0,0,0
5548,0,0,0,0,0,0,0,0,0,9
5558,0,0,0,0,0,10,0,0,0,0
5568,0,0,0,0,0,0,0,0,0,9
5578,0,0,0,0,0,9,0,0,0,0
5588,0,0,0,0,0,0,0,0,0,10
5598,0,0,0,0,0,9,0,0,0,0
5608,0,0,0,0,0,0,0,0,0,10
5618,0,0,0,0,0,9,0,0,0,0
5628,0,0,0,0,0,0,0,0,0,10
5638,0,0,0,0,0,9,0,0,0,0
5648,0,0,0,0,0,0,0,0,0,10
5658,0,0,0,0,0,9,0,0,0,0
5672,0,0,0,0,0,0,0,0,0,14
5682,0,0,0,0,0,9,0,0,0,0
5692,0,0,0,0,0,0,0,0,0,10
5702,0,0,0,0,0,9,0,0,0,0
5712,0,0,0,0,0,0,0,0,0,10
5722,0,0,0,0,0,9,0,0,0,0
5732,0,0,0,0,0,0,0,0,0,10
5742,0,0,0,0,0,9,0,0,0,0
5752,0,0,0,0,0,0,0,0,0,10
5762,0,0,0,0,0,9,0,0,0,0
5772,0,0,0,0,0,0,0,0,0,10
5782,0,0,0,0,0,9,0,0,0,0
5792,0,0,0,0,0,0,0,0,0,10
5802,0,0,0,0,0,9,0,0,0,0
5812,0,0,0,0,0,0,0,0,0,9
5822,0,0,0,0,0,10,0,0,0,0
5832,0,0,0,0,0,0,0,0,0,9
5842,0,0,0,0,0,9,0,0,0,0
5852,0,0,0,0,0,0,0,0,0,10
5862,0,0,0,0,0,9,0,0,0,0
5872,0,0,0,0,0,0,0,0,0,10
5882,0,0,0,0,0,9,0,0,0,0
5892,0,0,0,0,0,0,0,0,0,10
5902,0,0,0,0,0,9,0,0,0,0
5912,0,0,0,0,0,0,0,0,0,10
5922,0,0,0,0,0,9,0,0,0,0
5932,0,0,0,0,0,0,0,0,0,10
5942,0,0,0,0,0,9,0,0,0,0
5952,0,0,0,0,0,0,0,0,0,10
5962,0,0,0,0,0,9,0,0,0,0
5972,0,0,0,0,0,0,0,0,0,10
5982,0,0,0,0,0,9,0,0,0,0
5992,0,0,0,0,0,0,0,0,0,10
6002,0,0,0,0,0,9,0,0,0,0
6012,0,0,0,0,0,0,0,0,0,10
6022,0,0,0,0,0,9,0,0,0,0
6032,0,0,0,0,0,0,0,0,0,10
6042,0,0,0,0,0,9,0,0,0,0
6052,0,0,0,0,0,0,0,0,0,10
6062,0,0,0,0,0,9,0,0,0,0
6072,0,0,0,0,0,0,0,0,0,9
6082,0,0,0,0,0,10,0,0,0,0
6092,0,0,0,0,0,0,0,0,0,9
6102,0,0,0,0,0,9,0,0,0,0
6112,0,0,0,0,0,0,0,0,0,10
6122,0,0,0,0,0,9,0,0,0,0
6132,0,0,0,0,0,0,0,0,0,10
6142,0,0,0,0,0,9,0,0,0,0
6152,0,0,0,0,0,0,0,0,0,10
6162,0,0,0,0,0,9,0,0,0,0
6175,0,0,0,0,0,0,0,0,0,14
6185,0,0,0,0,0,8,0,0,0,0
6195,0,0,0,0,0,0,0,0,0,10
6205,0,0,0,0,0,9,0,0,0,0
6215,0,0,0,0,0,0,0,0,0,10
6225,0,0,0,0,0,9,0,0,0,0
6235,0,0,0,0,0,0,0,0,0,10
6245,0,0,0,0,0,9,0,0,0,0
6255,0,0,0,0,0,0,0,0,0,10
6265,0,0,0,0,0,9,0,0,0,0
6275,0,0,0,0,0,0,0,0,0,10
6285,0,0,0,0,0,9,0,0,0,0
6295,0,0,0,0,0,0,0,0,0,10
6305,0,0,0,0,0,9,0,0,0,0
6315,0,0,0,0,0,0,0,0,0,10
6325,0,0,0,0,0,9,0,0,0,0
6335,0,0,0,0,0,0,0,0,0,10
6345,0,0,0,0,0,9,0,0,0,0
6355,0,0,0,0,0,0,0,0,0,9
6365,0,0,0,0,0,10,0,0,0,0
6375,0,0,0,0,0,0,0,0,0,10
6385,0,0,0,0,0,10,0,0,0,0
6395,0,0,0,0,0,0,0,0,0,10
6405,0,0,0,0,0,10,0,0,0,0
6415,0,0,0,0,0,0,0,0,0,10
6425,0,0,0,0,0,10,0,0,0,0
6435,0,0,0,0,0,0,0,0,0,10
6445,0,0,0,0,0,9,0,0,0,0
6455,0,0,0,0,0,0,0,0,0,10
6465,0,0,0,0,0,10,0,0,0,0
6475,0,0,0,0,0,0,0,0,0,10
6485,0,0,0,0,0,10,0,0,0,0
6495,0,0,0,0,0,0,0,0,0,10
6505,0,0,0,0,0,10,0,0,0,0
6515,0,0,0,0,0,0,0,0,0,10
6525,0,0,0,0,0,10,0,0,0,0
6535,0,0,0,0,0,0,0,0,0,10
6545,0,0,0,0,0,10,0,0,0,0
6555,0,0,0,0,0,0,0,0,0,10
6565,0,0,0,0,0,10,0,0,0,0
6575,0,0,0,0,0,0,0,0,0,10
6585,0,0,0,0,0,10,0,0,0,0
6595,0,0,0,0,0,0,0,0,0,10
6605,0,0,0,0,0,10,0,0,0,0
6615,0,0,0,0,0,0,0,0,0,9
6625,0,0,0,0,0,9,0,0,0,0
6635,0,0,0,0,0,0,0,0,0,10
6645,0,0,0,0,0,10,0,0,0,0
6655,0,0,0,0,0,0,0,0,0,10
6665,0,0,0,0,0,10,0,0,0,0
6678,0,0,0,0,0,0,0,0,0,14
6688,0,0,0,0,0,9,0,0,0,0
6698,0,0,0,0,0,0,0,0,0,10
6708,0,0,0,0,0,10,0,0,0,0
6718,0,0,0,0,0,0,0,0,0,10
6728,0,0,0,0,0,10,0,0,0,0
6738,0,0,0,0,0,0,0,0,0,10
6748,0,0,0,0,0,10,0,0,0,0
6758,0,0,0,0,0,0,0,0,0,10
6768,0,0,0,0,0,10,0,0,0,0
6778,0,0,0,0,0,0,0,0,0,10
6788,0,0,0,0,0,10,0,0,0,0
6798,0,0,0,0,0,0,0,0,0,10
6808,0,0,0,0,0,10,0,0,0,0
6818,0,0,0,0,0,0,0,0,0,10
6828,0,0,0,0,0,10,0,0,0,0
6838,0,0,0,0,0,0,0,0,0,10
6848,0,0,0,0,0,10,0,0,0,0
6858,0,0,0,0,0,0,0,0,0,10
6868,0,0,0,0,0,10,0,0,0,0
6878,0,0,0,0,0,0,0,0,0,10
6888,0,0,0,0,0,9,0,0,0,0
6898,0,0,0,0,0,0,0,0,0,10
6908,0,0,0,0,0,10,0,0,0,0
6918,0,0,0,0,0,0,0,0,0,10
6928,0,0,0,0,0,10,0,0,0,0
6938,0,0,0,0,0,0,0,0,0,10
6948,0,0,0,0,0,10,0,0,0,0
6958,0,0,0,0,0,0,0,0,0,10
6968,0,0,0,0,0,10,0,0,0,0
6978,0,0,0,0,0,0,0,0,0,10
6988,0,0,0,0,0,10,0,0,0,0
6998,0,0,0,0,0,0,0,0,0,10
7008,0,0,0,0,0,10,0,0,0,0
7018,0,0,0,0,0,0,0,0,0,10
7028,0,0,0,0,0,10,0,0,0,0
7038,0,0,0,0,0,0,0,0,0,10
7048,0,0,0,0,0,10,0,0,0,0
7058,0,0,0,0,0,0,0,0,0,10
7068,0,0,0,0,0,10,0,0,0,0
7078,0,0,0,0,0,0,0,0,0,10
7088,0,0,0,0,0,10,0,0,0,0
7098,0,0,0,0,0,0,0,0,0,10
7108,0,0,0,0,0,10,0,0,0,0
7118,0,0,0,0,0,0,0,0,0,10
7128,0,0,0,0,0,10,0,0,0,0
7138,0,0,0,0,0,0,0,0,0,10
7148,0,0,0,0,0,9,0,0,0,0
7158,0,0,0,0,0,0,0,0,0,10
7168,0,0,0,0,0,10,0,0,0,0
7181,0,0,0,0,0,0,0,0,0,14
7191,0,0,0,0,0,9,0,0,0,0
7201,0,0,0,0,0,0,0,0,0,10
7211,0,0,0,0,0,10,0,0,0,0
7221,0,0,0,0,0,0,0,0,0,10
7231,0,0,0,0,0,10,0,0,0,0
7241,0,0,0,0,0,0,0,0,0,10
7251,0,0,0,0,0,10,0,0,0,0
7261,0,0,0,0,0,0,0,0,0,10
7271,0,0,0,0,0,10,0,0,0,0
7281,0,0,0,0,0,0,0,0,0,10
7291,0,0,0,0,0,10,0,0,0,0
7301,0,0,0,0,0,0,0,0,0,10
7311,0,0,0,0,0,10,0,0,0,0
7321,0,0,0,0,0,0,0,0,0,10
7331,0,0,0,0,0,10,0,0,0,0
7341,0,0,0,0,0,0,0,0,0,10
7351,0,0,0,0,0,10,0,0,0,0
7361,0,0,0,0,0,0,0,0,0,10
7371,0,0,0,0,0,10,0,0,0,0
7381,0,0,0,0,0,0,0,0,0,10
7391,0,0,0,0,0,10,0,0,0,0
7401,0,0,0,0,0,0,0,0,0,10
7411,0,0,0,0,0,9,0,0,0,0
7421,0,0,0,0,0,0,0,0,0,10
7431,0,0,0,0,0,10,0,0,0,0
7441,0,0,0,0,0,0,0,0,0,10
7451,0,0,0,0,0,10,0,0,0,0
7461,0,0,0,0,0,0,0,0,0,10
7471,0,0,0,0,0,10,0,0,0,0
7481,0,0,0,0,0,0,0,0,0,10
7491,0,0,0,0,0,10,0,0,0,0
7501,0,0,0,0,0,0,0,0,0,10
7511,0,0,0,0,0,10,0,0,0,0
7521,0,0,0,0,0,0,0,0,0,10
7531,0,0,0,0,0,10,0,0,0,0
7541,0,0,0,0,0,0,0,0,0,10
7551,0,0,0,0,0,10,0,0,0,0
7561,0,0,0,0,0,0,0,0,0,10
7571,0,0,0,0,0,10,0,0,0,0
7581,0,0,0,0,0,0,0,0,0,10
7591,0,0,0,0,0,10,0,0,0,0
7601,0,0,0,0,0,0,0,0,0,10
7611,0,0,0,0,0,10,0,0,0,0
7621,0,0,0,0,0,0,0,0,0,10
7631,0,0,0,0,0,10,0,0,0,0
7641,0,0,0,0,0,0,0,0,0,10
7651,0,0,0,0,0,10,0,0,0,0
7661,0,0,0,0,0,0,0,0,0,10
7671,0,0,0,0,0,10,0,0,0,0
7685,0,0,0,0,0,0,0,0,0,14
7695,0,0,0,0,0,9,0,0,0,0
7705,0,0,0,0,0,0,0,0,0,10
7715,0,0,0,0,0,10,0,0,0,0
7725,0,0,0,0,0,0,0,0,0,10
7735,0,0,0,0,0,10,0,0,0,0
7745,0,0,0,0,0,0,0,0,0,10
7755,0,0,0,0,0,10,0,0,0,0
7765,0,0,0,0,0,0,0,0,0,10
7775,0,0,0,0,0,10,0,0,0,0
7785,0,0,0,0,0,0,0,0,0,10
7795,0,0,0,0,0,10,0,0,0,0
7805,0,0,0,0,0,0,0,0,0,10
7815,0,0,0,0,0,10,0,0,0,0
7825,0,0,0,0,0,0,0,0,0,10
7835,0,0,0,0,0,10,0,0,0,0
7845,0,0,0,0,0,0,0,0,0,10
7855,0,0,0,0,0,10,0,0,0,0
7865,0,0,0,0,0,0,0,0,0,10
7875,0,0,0,0,0,10,0,0,0,0
7885,0,0,0,0,0,0,0,0,0,10
7895,0,0,0,0,0,10,0,0,0,0
7905,0,0,0,0,0,0,0,0,0,10
7915,0,0,0,0,0,10,0,0,0,0
7925,0,0,0,0,0,0,0,0,0,10
7935,0,0,0,0,0,9,0,0,0,0
7945,0,0,0,0,0,0,0,0,0,10
7955,0,0,0,0,0,10,0,0,0,0
7965,0,0,0,0,0,0,0,0,0,10
7975,0,0,0,0,0,10,0,0,0,0
7985,0,0,0,0,0,0,0,0,0,9
7995,0,0,0,0,0,10,0,0,0,0
8005,0,0,0,0,0,0,0,0,0,10
8015,0,0,0,0,0,10,0,0,0,0
8025,0,0,0,0,0,0,0,0,0,9
8035,0,0,0,0,0,10,0,0,0,0
8045,0,0,0,0,0,0,0,0,0,9
8055,0,0,0,0,0,10,0,0,0,0
8065,0,0,0,0,0,0,0,0,0,10
8075,0,0,0,0,0,10,0,0,0,0
8085,0,0,0,0,0,0,0,0,0,9
8095,0,0,0,0,0,10,0,0,0,0
8105,0,0,0,0,0,0,0,0,0,9
8115,0,0,0,0,0,10,0,0,0,0
8125,0,0,0,0,0,0,0,0,0,9
8135,0,0,0,0,0,10,0,0,0,0
8145,0,0,0,0,0,0,0,0,0,9
8155,0,0,0,0,0,10,0,0,0,0
8165,0,0,0,0,0,0,0,0,0,9
8175,0,0,0,0,0,10,0,0,0,0
8188,0,0,0,0,0,0,0,0,0,14
8198,0,0,0,0,0,8,0,0,0,0
8208,0,0,0,0,0,0,0,0,0,11
8218,0,0,0,0,0,9,0,0,0,0
8228,0,0,0,0,0,0,0,0,0,9
8238,0,0,0,0,0,10,0,0,0,0
8248,0,0,0,0,0,0,0,0,0,10
8258,0,0,0,0,0,10,0,0,0,0
8268,0,0,0,0,0,0,0,0,0,9
8278,0,0,0,0,0,10,0,0,0,0
8288,0,0,0,0,0,0,0,0,0,9
8298,0,0,0,0,0,10,0,0,0,0
8308,0,0,0,0,0,0,0,0,0,10
8318,0,0,0,0,0,10,0,0,0,0
8328,0,0,0,0,0,0,0,0,0,9
8338,0,0,0,0,0,10,0,0,0,0
8348,0,0,0,0,0,0,0,0,0,9
8358,0,0,0,0,0,10,0,0,0,0
8368,0,0,0,0,0,0,0,0,0,10
8378,0,0,0,0,0,10,0,0,0,0
8388,0,0,0,0,0,0,0,0,0,9
8398,0,0,0,0,0,10,0,0,0,0
8408,0,0,0,0,0,0,0,0,0,9
8418,0,0,0,0,0,10,0,0,0,0
8428,0,0,0,0,0,0,0,0,0,10
8438,0,0,0,0,0,10,0,0,0,0
8448,0,0,0,0,0,0,0,0,0,9
8458,0,0,0,0,0,10,0,0,0,0
8468,0,0,0,0,0,0,0,0,0,9
8478,0,0,0,0,0,9,0,0,0,0
8488,0,0,0,0,0,0,0,0,0,10
8498,0,0,0,0,0,10,0,0,0,0
8508,0,0,0,0,0,0,0,0,0,10
8518,0,0,0,0,0,10,0,0,0,0
8528,0,0,0,0,0,0,0,0,0,10
8538,0,0,0,0,0,10,0,0,0,0
8548,0,0,0,0,0,0,0,0,0,10
8558,0,0,0,0,0,10,0,0,0,0
8568,0,0,0,0,0,0,0,0,0,10
8578,0,0,0,0,0,10,0,0,0,0
8588,0,0,0,0,0,0,0,0,0,10
8598,0,0,0,0,0,10,0,0,0,0
8608,0,0,0,0,0,0,0,0,0,10
8618,0,0,0,0,0,10,0,0,0,0
8628,0,0,0,0,0,0,0,0,0,10
8638,0,0,0,0,0,10,0,0,0,0
8648,0,0,0,0,0,0,0,0,0,10
8658,0,0,30,0,30,10,30,0,30,0
8668,0,0,30,0,30,0,30,0,30,10
8678,0,0,30,0,30,10,30,0,30,0
8692,0,0,30,0,30,0,30,0,30,13
8702,0,0,30,0,30,9,30,0,30,0
8712,0,0,30,0,30,0,30,0,30,10
8722,0,0,30,0,30,9,30,0,30,0
8732,0,0,30,0,30,0,30,0,30,10
8742,0,0,30,0,30,9,30,0,30,0
8752,0,0,30,0,30,0,30,0,30,9
8762,0,0,30,0,30,10,30,0,30,0
8772,0,0,30,0,30,0,30,0,30,9
8782,0,0,30,0,30,10,30,0,30,0
8792,0,0,30,0,30,0,30,0,30,9
8802,0,0,30,0,30,10,30,0,30,0
8812,0,0,30,0,30,0,30,0,30,9
8822,0,0,30,0,30,10,30,0,30,0
8832,0,0,30,0,30,0,30,0,30,9
8842,0,0,30,0,30,10,30,0,30,0
8852,0,0,30,0,30,0,30,0,30,9
8862,0,0,30,0,30,10,30,0,30,0
8872,0,0,30,0,30,0,30,0,30,9
8882,0,0,30,0,30,10,30,0,30,0
8892,0,0,30,0,30,0,30,0,30,9
8902,0,0,30,0,30,10,30,0,30,0
8912,0,0,30,0,30,0,30,0,30,9
8922,0,0,30,0,30,10,30,0,30,0
8932,0,0,30,0,30,0,30,0,30,9
8942,0,0,30,0,30,10,30,0,30,0
8952,0,0,30,0,30,0,30,0,30,9
8962,0,0,30,0,30,9,30,0,30,0
8972,0,0,30,0,30,0,30,0,30,9
8982,0,0,30,0,30,10,30,0,30,0
8992,0,0,30,0,30,0,30,0,30,9
9002,0,0,30,0,30,10,30,0,30,0
9012,0,0,30,0,30,0,30,0,30,10
9022,0,0,30,0,30,10,30,0,30,0
9032,0,0,30,0,30,0,30,0,30,10
9042,0,0,30,0,30,10,30,0,30,0
9052,0,0,30,0,30,0,30,0,30,9
9062,0,0,30,0,30,10,30,0,30,0
9072,0,0,30,0,30,0,30,0,30,10
9082,0,0,30,0,30,10,30,0,30,0
9092,0,0,30,0,30,0,30,0,30,10
9102,0,0,30,0,30,10,30,0,30,0
9112,0,0,30,0,30,0,30,0,30,9
9122,0,0,30,0,30,10,30,0,30,0
9132,0,0,30,0,30,0,30,0,30,10
9142,0,0,30,0,30,10,30,0,30,0
9152,0,0,30,0,30,0,30,0,30,10
9162,0,0,30,0,30,10,30,0,30,0
9172,0,0,30,0,30,0,30,0,30,9
9182,0,0,30,0,30,10,30,0,30,0
9196,0,0,30,0,30,0,30,0,30,14
9206,0,0,30,0,30,10,30,0,30,0
9216,0,0,30,0,30,0,30,0,30,10
9226,0,0,30,0,30,9,30,0,30,0
9236,0,0,30,0,30,0,30,0,30,9
9246,0,0,30,0,30,10,30,0,30,0
9256,0,0,30,0,30,0,30,0,30,9
9266,0,0,30,0,30,10,30,0,30,0
9276,0,0,30,0,30,0,30,0,30,9
